,Full,Ridge.min,Lasso.min,Lasso.1se,L.Refit,PCR
0,0.04342037709971719,0.039517183368823504,0.040860676456474,0.039889534971208944,0.043795343452441265,0.041959138312008495
1,0.03173722528127959,0.024231632567643546,0.025055775299912562,0.025297734582602295,0.027823704194385523,0.02636881443327737
2,0.026108929248412956,0.025041943101249957,0.025350574508158072,0.03307789763923965,0.028785070464608938,0.026663951308479795
3,0.036041738817957705,0.030721411212585682,0.032034368206119775,0.022839339655456134,0.031421208155525834,0.033176776255982955
4,0.04290405050486865,0.0320496607776749,0.037054066675895676,0.024963983464799663,0.02782935006826915,0.0416577049779973
5,0.02461417960354675,0.025907383349729193,0.02593558961562694,0.027562956514332458,0.025415140395532082,0.028304959017409672
6,0.026627893411272387,0.02820454319960218,0.028189431542677,0.03183154859997401,0.0337589015459181,0.030226947490904262
7,0.04357927655618963,0.03618910961746842,0.03891338265693257,0.034181991121339,0.038778416958124326,0.03921642927360349
8,0.029720460623467698,0.02798638377426823,0.02769946968354725,0.028749338095995305,0.029854653162298458,0.027975228090024104
9,0.03006885803572055,0.021396240733252095,0.022171984659494087,0.021245314821729713,0.021656393009691154,0.02319523649233933
10,0.025871153910862997,0.019751585067028333,0.01974079510080389,0.02610023168247397,0.021375208562905798,0.021160353044546446
11,0.0371739543963615,0.03527460455902035,0.03828559575702091,0.03859700463295651,0.04127661601480473,0.036365788479356974
12,0.02980882201026796,0.024281851388410422,0.02393739362444293,0.02853453761839567,0.026005821108560555,0.027203888773701883
13,0.04158679795568475,0.030354854086235877,0.030821263805043943,0.03413017094180674,0.03411243803942847,0.03455778094691201
14,0.03574144467289542,0.038769540561814475,0.03878725718107605,0.04370121820750286,0.042902898606054285,0.040810066668450384
15,0.025977671411735705,0.027194157369378996,0.02925365061475702,0.03119369188072609,0.031299865366885594,0.027559801337375945
16,0.02807334031929784,0.029051266491521236,0.02929302458156975,0.031712144989075805,0.030497145101325212,0.035463905343510654
17,0.02145332652713262,0.015489830144923684,0.015661758968316314,0.016055505829735642,0.01840606423049132,0.018101413929034697
18,0.032317596404761825,0.03299279769714487,0.03409584253241765,0.029630065610049015,0.03351491352083274,0.03623492135036598
19,0.026494619707689453,0.019497312110302898,0.01891597035018639,0.028509462125178766,0.02463253246305639,0.02088989584712178
20,0.0368321256104511,0.032501850251525057,0.0345652913212446,0.030280659493375776,0.030890560801877583,0.03259315589294676
21,0.03872040314474377,0.04172618534344005,0.043238710187254344,0.04249497873539105,0.04543597764602874,0.03948102560381116
22,0.027786547815819414,0.02784576774805649,0.02906999534757308,0.030216004164330505,0.03047236424344881,0.0301522858180173
23,0.029178457023387082,0.029156612956294556,0.030789728892128675,0.03232887913779503,0.033818333061312746,0.03201822439916041
24,0.018262886513854253,0.017127377527716127,0.017680406608818033,0.029206163645942956,0.02664892994924011,0.020011869559911268
25,0.031015451777238814,0.021296399887483376,0.0275058279773947,0.02148169873659235,0.020017376269641222,0.02390715422184227
26,0.02841191502931211,0.020284676174393012,0.02244629833208525,0.021406969224238494,0.021358823024034777,0.023339026656967125
27,0.028963515422075252,0.024989289513641724,0.025461411573691528,0.029075496994655815,0.026387685540404812,0.0278016387073483
28,0.03073722675565404,0.028219714797141245,0.030135624275547484,0.03218809704199262,0.031114967202746414,0.028716609619502967
29,0.02351230391320474,0.022145756472332145,0.021904695428159784,0.024183052470394074,0.02358026303987813,0.02352204453483087
30,0.025905513113100794,0.02438265629466308,0.023038340746531,0.025193128690068286,0.02575017193737828,0.02814068164581423
31,0.02764007249661055,0.030707195461462836,0.030079703206061285,0.034945672346883574,0.034907563702120725,0.033391639142333916
32,0.026766402936805135,0.02515476939850946,0.02507184944423698,0.02537525991313885,0.029838510614952587,0.02982916481076553
33,0.03426850715130141,0.035540579837067085,0.037088098930492974,0.039442717637065756,0.038782339162051156,0.038249158532342495
34,0.035256012654483276,0.026878647321093557,0.02806509516525359,0.0287063406752092,0.0290612063205266,0.028822757485809054
35,0.02854062009411998,0.029859120812644,0.0310781887409775,0.03739650525451283,0.03632525161325059,0.029971368917472704
36,0.021918167759477938,0.024166748313583973,0.023915414273456108,0.02867862361418759,0.024917223885097244,0.024302585354220255
37,0.0259473863331534,0.027239546533659866,0.03163814579844539,0.036302964947906316,0.03584260179324417,0.027194693235819113
38,0.026701362194338805,0.024881231636018866,0.02441477320295481,0.02863806587505302,0.024900499422461912,0.025634529020275406
39,0.026355536869410303,0.025214661041970468,0.025037723194931413,0.03294616271780632,0.03133162726548069,0.025280615906643013
40,0.034946076733769656,0.031492439787366454,0.03192487408159476,0.031543867236344655,0.038832530472711645,0.03698925124802577
41,0.029519550030179417,0.031098899562568685,0.03079746220392078,0.03462301750376149,0.031210420521141827,0.03303132738024269
42,0.028950623868696793,0.03097541171929305,0.030410944454202723,0.028802172663169114,0.02944400185213579,0.028203072524511586
43,0.03150980019310679,0.030978991307388005,0.030072476628756086,0.03328102658373777,0.032067779077092996,0.03261984509718512
44,0.02409667886627307,0.027758319394773287,0.03006154562041235,0.03604656940899546,0.03339278847813166,0.03035582983108257
45,0.05000657547055205,0.03592321532072731,0.036922563067684856,0.03611548145531547,0.03706312980070536,0.03938765494610932
46,0.02559807193143859,0.02287252962557255,0.02466418693574606,0.02433842644431703,0.025131314341480394,0.02754960616511959
47,0.018723682475004468,0.017323622361559255,0.01726428717495183,0.021387217950701917,0.02059109366542841,0.021074585676767094
48,0.028898801222282586,0.025476475068724816,0.02531672051412373,0.031731706474712,0.03057108251504571,0.02518338915042457
49,0.023340932086657495,0.024430111368144262,0.024323172849835525,0.03057237929037066,0.02766084975684375,0.02732544096590443
